COUNTIES INCLUDED IN 2025 LOCALITIES. (ALPHABETICALLY BY STATE AND LOCALITY NAME WITHIN STATE),,,,
,,,,
Medicare Adminstrative Contractor,Locality Number,State ,Fee Schedule Area ,Counties
,,,,
10112,0,ALABAMA ,STATEWIDE ,ALL COUNTIES 
,,,,
2102,1,ALASKA ,STATEWIDE ,ALL COUNTIES 
,,,,
3102,0,ARIZONA ,STATEWIDE ,ALL COUNTIES 
,,,,
7102,13,ARKANSAS ,STATEWIDE ,ALL COUNTIES 
,,,,
1182,18,CALIFORNIA,LOS ANGELES-LONG BEACH-ANAHEIM (LOS ANGELES CNTY),LOS ANGELES /ORAGNGE CNTY
1112,52,,SAN FRANCISCO-OAKLAND-BERKELEY (MARIN CNTY),MARIN
1112,5,,SAN FRANCISCO-OAKLAND-BERKELEY (SAN FRANCISCO CNTY/ALAMEDA/CONTR COSTA CNTY/SAN MATEO),SAN FRANCISCO/ALAMEDA/CONTRA COSTA/SAN MATEO
1112,9,,SAN JOSE-SUNNYVALE-SANTA CLARA (SANTA CLARA CNTY),SANTA CLARA 
1112,51,,NAPA,NAPA
1112,53,,VALLEJO,SOLANO
1112,54,,BAKERSFIELD,KERN
1112,55,,CHICO,BUTTE
1112,56,,FRESNO,FRESNO
1112,57,,HANFORD-CORCORAN,KINGS
1112,58,,MADERA,MADERA
1112,59,,MERCED,MERCED
1112,60,,MODESTO,STANISLAUS
1112,61,,REDDING,SHASTA
1112,62,,RIVERSIDE-SAN BERNARDINO-ONTARIO,"SAN BERNARDINO, RIVERSIDE"
1112,63,,SACRAMENTO-ROSEVILLE-FOLSOM,"SACRAMENTO, PLACER, YOLO, EL DORADO"
1112,64,,SALINAS,MONTEREY
1112,65,,SAN JOSE-SUNNYVALE-SANTA CLARA (SAN BENITO CNTY),SAN BENITO
1112,66,,SANTA CRUZ-WATSONVILLE,SANTA CRUZ
1112,67,,SANTA ROSA-PETALUMA,SONOMA
1112,68,,STOCKTON,SAN JOAQUIN
1112,69,,VISALIA,TULARE
1112,70,,YUBA CITY,"SUTTER, YUBA"
1182,71,,EL CENTRO,IMPERIAL
1182,72,,SAN DIEGO-CHULA VISTA-CARLSBAD,SAN DIEGO
1182,73,,SAN LUIS OBISPO-PASO ROBLES,SAN LUIS OBISPO
1182,74,,SANTA MARIA-SANTA BARBARA,SANTA BARBARA
1182,17,,OXNARD-THOUSAND OAKS-VENTURA,VENTURA 
1112,75,,REST OF STATE*,ALL OTHER COUNTIES
,,,,
4112,1,COLORADO ,STATEWIDE ,ALL COUNTIES 
,,,,
13102,0,CONNECTICUT ,STATEWIDE ,ALL COUNTIES 
,,,,
12102,1,DELAWARE ,STATEWIDE ,ALL COUNTIES 
,,,,
12202,1,DISTRICT OF COLUMBIA ,DC + MD/VA SUBURBS ,"DISTRICT OF COLUMBIA; ALEXANDRIA CITY, ARLINGTON, FAIRFAX, FAIRFAX CITY, FALLS CHURCH CITY IN VIRGINIA; MONTGOMERY AND PRINCE GEORGE'S IN MARYLAND"
,,,,
9102,3,FLORIDA ,FORT LAUDERDALE,"BROWARD, COLLIER, INDIAN RIVER, LEE, MARTIN, PALM BEACH, AND ST. LUCIE"
9102,4,,MIAMI,DADE AND MONROE
9102,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
10212,1,GEORGIA ,ATLANTA,"BUTTS, CHEROKEE, CLAYTON, COBB, DEKALB, DOUGLAS, FAYETTE, FORSYTH, FULTON, GWINNETT, HENRY, NEWTON, PAULDING, ROCKDALE AND WALTON"
10212,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
1212,1,HAWAII/GUAM,STATEWIDE ,ALL COUNTIES 
,,,,
2202,0,IDAHO ,STATEWIDE ,ALL COUNTIES 
,,,,
6102,16,ILLINOIS ,CHICAGO,COOK 
6102,12,,EAST ST. LOUIS,"BOND, CALHOUN, CLINTON, JERSEY, MACOUPIN, MADISON, MONROE, MONTGOMERY, RANDOLPH, ST. CLAIR AND WASHINGTON"
6102,15,,SUBURBAN CHICAGO,"DUPAGE, KANE, LAKE AND WILL"
6102,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
8102,0,INDIANA ,STATEWIDE ,ALL COUNTIES 
,,,,
5102,0,IOWA ,STATEWIDE ,ALL COUNTIES 
,,,,
5202,0,KANSAS ,STATEWIDE* ,ALL COUNTIES 
 , , , , 
15102,0,KENTUCKY ,STATEWIDE ,ALL COUNTIES 
,,,,
7202,1,LOUISIANA ,NEW ORLEANS,"JEFFERSON, ORLEANS, PLAQUEMINES AND ST. BERNARD"
7202,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
14112,3,MAINE ,SOUTHERN MAINE ,CUMBERLAND AND YORK
14112,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
12302,1,MARYLAND ,BALTIMORE/SURR. CNTYS,"ANNE ARUNDEL, BALTIMORE, BALTIMORE CITY, CARROLL, HARFORD AND HOWARD"
12302,99,,REST OF STATE ,ALL OTHER COUNTIES EXCEPT MONTGOMERY AND PRINCE GEORGE'S
,,,,
14212,1,MASSACHUSETTS ,METROPOLITAN BOSTON ,"MIDDLESEX, NORFOLK AND SUFFOLK"
