HCPCS,MOD,DESCRIPTION,STATUS CODE,PCTC IND,WORK RVU,NON-FAC PE RVU,FAC PE RVU,MP RVU,NON-FAC TOTAL,FAC TOTAL,GLOB DAYS,MULT PROC,BILAT SURG,ASST SURG,CO-SURG,TEAM SURG
99212,,"Office/outpatient visit, established patient, straightforward",A,,0.70,0.94,0.48,0.04,1.68,1.22,XXX,,,1,,
99213,,"Office/outpatient visit, established patient, low complexity",A,,1.30,1.30,0.75,0.08,2.68,2.13,XXX,,,1,,
99214,,"Office/outpatient visit, established patient, moderate complexity",A,,1.92,1.67,1.10,0.13,3.72,3.15,XXX,,,1,,
99215,,"Office/outpatient visit, established patient, high complexity",A,,2.80,2.05,1.50,0.18,5.03,4.48,XXX,,,1,,
99202,,"Office/outpatient visit, new patient, straightforward",A,,0.93,1.12,0.58,0.06,2.11,1.57,XXX,,,1,,
99203,,"Office/outpatient visit, new patient, low complexity",A,,1.60,1.61,0.97,0.11,3.32,2.68,XXX,,,1,,
99204,,"Office/outpatient visit, new patient, moderate complexity",A,,2.60,2.33,1.60,0.18,5.11,4.38,XXX,,,1,,
99205,,"Office/outpatient visit, new patient, high complexity",A,,3.50,2.80,2.06,0.24,6.54,5.80,XXX,,,1,,
10060,,Incision and drainage of abscess; simple or single,A,,1.22,2.61,0.89,0.11,3.94,2.22,010,2,1,0,0,0
11102,,Tangential biopsy of skin; single lesion,A,,0.76,1.68,0.55,0.09,2.53,1.40,000,2,0,0,0,0
20610,,Arthrocentesis; major joint or bursa,A,,0.79,1.22,0.50,0.06,2.07,1.35,000,2,0,1,0,0
36415,,Collection of venous blood by venipuncture,A,,0.00,0.18,0.18,0.02,0.20,0.20,XXX,,,9,,
71046,,"Radiologic exam, chest; 2 views",A,,0.22,0.23,0.15,0.02,0.47,0.39,XXX,5,,9,,
71046,26,"Radiologic exam, chest; 2 views - Professional component",A,2,0.22,0.08,0.08,0.02,0.32,0.32,XXX,5,,9,,
71046,TC,"Radiologic exam, chest; 2 views - Technical component",A,1,0.00,0.15,0.07,0.00,0.15,0.07,XXX,5,,9,,
93000,,"Electrocardiogram, routine ECG with at least 12 leads",A,,0.17,0.20,0.10,0.01,0.38,0.28,XXX,,,9,,
27447,,"Arthroplasty, knee, condyle and plateau; total knee",A,,20.74,45.04,20.42,3.96,69.74,45.12,090,2,0,1,1,1
27130,,"Arthroplasty, acetabular and proximal femoral prosthetic replacement (total hip)",A,,20.67,40.20,18.90,3.65,64.52,43.22,090,2,0,1,1,1
33533,,Coronary artery bypass; single arterial graft,A,,33.52,67.21,33.00,6.12,106.85,72.64,090,2,0,2,1,1
