ZIP,CARRIER,LOCALITY,STATE,RURAL
99501,02102,01,AK,U
99502,02102,01,AK,U
99503,02102,01,AK,U
99504,02102,01,AK,U
99505,02102,01,AK,U
99506,02102,01,AK,U
99507,02102,01,AK,U
99508,02102,01,AK,U
99509,02102,01,AK,U
99510,02102,01,AK,U
99511,02102,01,AK,U
99512,02102,01,AK,U
99513,02102,01,AK,U
99514,02102,01,AK,U
99515,02102,01,AK,U
99516,02102,01,AK,U
99517,02102,01,AK,U
99518,02102,01,AK,U
99519,02102,01,AK,U
99520,02102,01,AK,U
99521,02102,01,AK,U
99522,02102,01,AK,U
99523,02102,01,AK,U
99524,02102,01,AK,U
99529,02102,01,AK,U
99530,02102,01,AK,U
99540,02102,01,AK,U
99545,02102,01,AK,B
99546,02102,01,AK,B
99547,02102,01,AK,B
99548,02102,01,AK,B
99549,02102,01,AK,B
99550,02102,01,AK,B
99551,02102,01,AK,B
99552,02102,01,AK,B
99553,02102,01,AK,B
99554,02102,01,AK,B
99555,02102,01,AK,B
99556,02102,01,AK,B
99557,02102,01,AK,B
99558,02102,01,AK,B
99559,02102,01,AK,B
99561,02102,01,AK,B
99563,02102,01,AK,B
99564,02102,01,AK,B
99565,02102,01,AK,B
99566,02102,01,AK,B
99567,02102,01,AK,U
99568,02102,01,AK,B
99569,02102,01,AK,B
99571,02102,01,AK,B
99572,02102,01,AK,B
99573,02102,01,AK,B
99574,02102,01,AK,B
99575,02102,01,AK,B
99576,02102,01,AK,B
99577,02102,01,AK,U
99578,02102,01,AK,B
99579,02102,01,AK,B
99580,02102,01,AK,B
99581,02102,01,AK,B
99583,02102,01,AK,B
99584,02102,01,AK,B
99585,02102,01,AK,B
99586,02102,01,AK,B
99587,02102,01,AK,U
99588,02102,01,AK,B
99589,02102,01,AK,B
99590,02102,01,AK,B
99591,02102,01,AK,B
99599,02102,01,AK,U
99602,02102,01,AK,B
99603,02102,01,AK,B
99604,02102,01,AK,B
99605,02102,01,AK,B
99606,02102,01,AK,B
99607,02102,01,AK,B
99608,02102,01,AK,B
99609,02102,01,AK,B
99610,02102,01,AK,B
99611,02102,01,AK,B
99612,02102,01,AK,B
99613,02102,01,AK,B
99614,02102,01,AK,B
99615,02102,01,AK,B
99619,02102,01,AK,B
99620,02102,01,AK,B
99621,02102,01,AK,B
99622,02102,01,AK,B
99623,02102,01,AK,B
99624,02102,01,AK,B
99625,02102,01,AK,B
99626,02102,01,AK,B
99627,02102,01,AK,B
99628,02102,01,AK,B
99629,02102,01,AK,B
99630,02102,01,AK,B
99631,02102,01,AK,B
99632,02102,01,AK,B
99633,02102,01,AK,B
99634,02102,01,AK,B
99635,02102,01,AK,B
99636,02102,01,AK,B
99637,02102,01,AK,B
99638,02102,01,AK,B
99639,02102,01,AK,B
99640,02102,01,AK,B
99641,02102,01,AK,B
99643,02102,01,AK,B
99644,02102,01,AK,B
99645,02102,01,AK,B
99647,02102,01,AK,B
99648,02102,01,AK,B
99649,02102,01,AK,B
99650,02102,01,AK,B
99651,02102,01,AK,B
99652,02102,01,AK,B
99653,02102,01,AK,B
99654,02102,01,AK,B
99655,02102,01,AK,B
99656,02102,01,AK,B
99657,02102,01,AK,B
99658,02102,01,AK,B
99659,02102,01,AK,B
99660,02102,01,AK,B
99661,02102,01,AK,B
99662,02102,01,AK,B
99663,02102,01,AK,B
99664,02102,01,AK,B
99665,02102,01,AK,B
99666,02102,01,AK,B
99667,02102,01,AK,B
99668,02102,01,AK,B
99669,02102,01,AK,B
99670,02102,01,AK,B
99671,02102,01,AK,B
99672,02102,01,AK,B
99674,02102,01,AK,B
99675,02102,01,AK,B
99676,02102,01,AK,B
99677,02102,01,AK,B
99678,02102,01,AK,B
99679,02102,01,AK,B
99680,02102,01,AK,B
99681,02102,01,AK,B
99682,02102,01,AK,B
99683,02102,01,AK,B
99684,02102,01,AK,B
99685,02102,01,AK,B
99686,02102,01,AK,B
99687,02102,01,AK,B
99688,02102,01,AK,B
99689,02102,01,AK,R
99690,02102,01,AK,B
99691,02102,01,AK,B
99692,02102,01,AK,B
99693,02102,01,AK,B
99694,02102,01,AK,B
99695,02102,01,AK,U
