code,code_system,paraphrased_desc,short_desc,category,license_status,version_year
99202,CPT,"Office visit for new patient, 15 minute typical time, medical decision making level 1",,E/M,free,2025
99203,CPT,"Office visit for new patient, 30 minute typical time, medical decision making level 2",,E/M,free,2025
99204,CPT,"Office visit for new patient, 45 minute typical time, medical decision making level 3",,E/M,free,2025
99205,CPT,"Office visit for new patient, 60 minute typical time, medical decision making level 4",,E/M,free,2025
99211,CPT,"Brief office visit for established patient, minimal medical decision making",,E/M,free,2025
99212,CPT,"Office visit for established patient, 10 minute typical time, medical decision making level 1",,E/M,free,2025
99213,CPT,"Office visit for established patient, 20 minute typical time, medical decision making level 2",,E/M,free,2025
99214,CPT,"Office visit for established patient, 30 minute typical time, medical decision making level 3",,E/M,free,2025
99215,CPT,"Office visit for established patient, 40 minute typical time, medical decision making level 4",,E/M,free,2025
99217,CPT,Observation care discharge day management,,E/M,free,2025
99218,CPT,"Initial observation care, low complexity medical decision making",,E/M,free,2025
99219,CPT,"Initial observation care, moderate complexity medical decision making",,E/M,free,2025
992110,CPT,"Initial observation care, high complexity medical decision making",,E/M,free,2025
99224,CPT,"Subsequent observation care, low complexity medical decision making",,E/M,free,2025
99225,CPT,"Subsequent observation care, moderate complexity medical decision making",,E/M,free,2025
99226,CPT,"Subsequent observation care, high complexity medical decision making",,E/M,free,2025
99234,CPT,"Observation or inpatient same-day admission and discharge, low complexity",,E/M,free,2025
99235,CPT,"Observation or inpatient same-day admission and discharge, moderate complexity",,E/M,free,2025
99236,CPT,"Observation or inpatient same-day admission and discharge, high complexity",,E/M,free,2025
99221,CPT,"Initial hospital admission and evaluation, low complexity medical decision making",,E/M,free,2025
99222,CPT,"Initial hospital admission and evaluation, moderate complexity medical decision making",,E/M,free,2025
99223,CPT,"Initial hospital admission and evaluation, high complexity medical decision making",,E/M,free,2025
99231,CPT,"Follow-up hospital visit, low complexity medical decision making",,E/M,free,2025
99232,CPT,"Follow-up hospital visit, moderate complexity medical decision making",,E/M,free,2025
99233,CPT,"Follow-up hospital visit, high complexity medical decision making",,E/M,free,2025
99238,CPT,"Hospital discharge management, 30 minutes or less",,E/M,free,2025
99239,CPT,"Hospital discharge management, more than 30 minutes",,E/M,free,2025
99281,CPT,"Emergency department visit, minimal complexity medical decision making",,E/M,free,2025
99282,CPT,"Emergency department visit, low complexity medical decision making",,E/M,free,2025
99283,CPT,"Emergency department visit, moderate complexity medical decision making",,E/M,free,2025
99284,CPT,"Emergency department visit, high complexity medical decision making",,E/M,free,2025
99285,CPT,"Emergency department visit, critical complexity medical decision making",,E/M,free,2025
99291,CPT,"Critical care services, first 30-74 minutes",,E/M,free,2025
99292,CPT,"Critical care services, each additional 30 minutes",,E/M,free,2025
99241,CPT,"Office consultation for new or established patient, 20 minute typical time",,E/M,free,2025
99242,CPT,"Office consultation for new or established patient, 30 minute typical time",,E/M,free,2025
99243,CPT,"Office consultation for new or established patient, 40 minute typical time",,E/M,free,2025
99244,CPT,"Office consultation for new or established patient, 60 minute typical time",,E/M,free,2025
99245,CPT,"Office consultation for new or established patient, 80 minute typical time",,E/M,free,2025
99251,CPT,"Inpatient consultation, 20 minute typical time",,E/M,free,2025
99252,CPT,"Inpatient consultation, 40 minute typical time",,E/M,free,2025
99253,CPT,"Inpatient consultation, 55 minute typical time",,E/M,free,2025
99254,CPT,"Inpatient consultation, 80 minute typical time",,E/M,free,2025
99255,CPT,"Inpatient consultation, 110 minute typical time",,E/M,free,2025
99304,CPT,"Initial nursing facility care, low complexity medical decision making",,E/M,free,2025
99305,CPT,"Initial nursing facility care, moderate complexity medical decision making",,E/M,free,2025
99306,CPT,"Initial nursing facility care, high complexity medical decision making",,E/M,free,2025
99307,CPT,"Subsequent nursing facility care, low complexity medical decision making",,E/M,free,2025
99308,CPT,"Subsequent nursing facility care, moderate complexity medical decision making",,E/M,free,2025
99309,CPT,"Subsequent nursing facility care, high complexity medical decision making",,E/M,free,2025
99310,CPT,"Nursing facility discharge management, 30 minutes or less",,E/M,free,2025
99318,CPT,Annual nursing facility assessment,,E/M,free,2025
99324,CPT,"Domiciliary or rest home visit, new patient, low complexity",,E/M,free,2025
99325,CPT,"Domiciliary or rest home visit, new patient, moderate complexity",,E/M,free,2025
99326,CPT,"Domiciliary or rest home visit, new patient, moderate-high complexity",,E/M,free,2025
99327,CPT,"Domiciliary or rest home visit, new patient, high complexity",,E/M,free,2025
99328,CPT,"Domiciliary or rest home visit, new patient, high complex complexity",,E/M,free,2025
99334,CPT,"Domiciliary or rest home visit, established patient, low complexity",,E/M,free,2025
99335,CPT,"Domiciliary or rest home visit, established patient, moderate complexity",,E/M,free,2025
99336,CPT,"Domiciliary or rest home visit, established patient, moderate-high complexity",,E/M,free,2025
99337,CPT,"Domiciliary or rest home visit, established patient, high complexity",,E/M,free,2025
99339,CPT,"Domiciliary care plan oversight, 15-29 minutes",,E/M,free,2025
99340,CPT,"Domiciliary care plan oversight, 30 minutes or more",,E/M,free,2025
99341,CPT,"Home visit, new patient, low complexity medical decision making",,E/M,free,2025
99342,CPT,"Home visit, new patient, moderate complexity medical decision making",,E/M,free,2025
99343,CPT,"Home visit, new patient, moderate-high complexity medical decision making",,E/M,free,2025
99344,CPT,"Home visit, new patient, high complexity medical decision making",,E/M,free,2025
99345,CPT,"Home visit, new patient, high complex complexity medical decision making",,E/M,free,2025
99347,CPT,"Home visit, established patient, low complexity medical decision making",,E/M,free,2025
99348,CPT,"Home visit, established patient, moderate complexity medical decision making",,E/M,free,2025
99349,CPT,"Home visit, established patient, moderate-high complexity medical decision making",,E/M,free,2025
993410,CPT,"Home visit, established patient, high complexity medical decision making",,E/M,free,2025
99381,CPT,"Preventive medicine visit for new patient, infant",,E/M,free,2025
99382,CPT,"Preventive medicine visit for new patient, child 1-4",,E/M,free,2025
99383,CPT,"Preventive medicine visit for new patient, child 5-11",,E/M,free,2025
99384,CPT,"Preventive medicine visit for new patient, adolescent 12-17",,E/M,free,2025
99385,CPT,"Preventive medicine visit for new patient, adult 18-39",,E/M,free,2025
99386,CPT,"Preventive medicine visit for new patient, adult 40-64",,E/M,free,2025
99387,CPT,"Preventive medicine visit for new patient, adult 65+",,E/M,free,2025
99391,CPT,"Preventive medicine visit for established patient, infant",,E/M,free,2025
99392,CPT,"Preventive medicine visit for established patient, child 1-4",,E/M,free,2025
99393,CPT,"Preventive medicine visit for established patient, child 5-11",,E/M,free,2025
99394,CPT,"Preventive medicine visit for established patient, adolescent 12-17",,E/M,free,2025
99395,CPT,"Preventive medicine visit for established patient, adult 18-39",,E/M,free,2025
99396,CPT,"Preventive medicine visit for established patient, adult 40-64",,E/M,free,2025
99397,CPT,"Preventive medicine visit for established patient, adult 65+",,E/M,free,2025
99354,CPT,"Prolonged outpatient service, first hour",,E/M,free,2025
99355,CPT,"Prolonged outpatient service, additional 30 minutes",,E/M,free,2025
99356,CPT,"Prolonged inpatient service, first hour",,E/M,free,2025
99357,CPT,"Prolonged inpatient service, additional 30 minutes",,E/M,free,2025
99366,CPT,"Medical team conference with interdisciplinary team, 30 minutes",,E/M,free,2025
99367,CPT,"Medical team conference with patient or family present, 30 minutes",,E/M,free,2025
99368,CPT,"Medical team conference without patient present, 30 minutes",,E/M,free,2025
99374,CPT,"Care plan oversight for home health, 15-29 minutes",,E/M,free,2025
99375,CPT,"Care plan oversight for home health, 30 minutes or more",,E/M,free,2025
99377,CPT,"Care plan oversight for hospice, 15-29 minutes",,E/M,free,2025
99378,CPT,"Care plan oversight for hospice, 30 minutes or more",,E/M,free,2025
99379,CPT,"Care plan oversight for nursing facility, 15-29 minutes",,E/M,free,2025
99380,CPT,"Care plan oversight for nursing facility, 30 minutes or more",,E/M,free,2025
99460,CPT,"Initial hospital or birthing center care, newborn evaluation",,E/M,free,2025
99461,CPT,"Initial care, normal newborn in other than hospital or birthing center",,E/M,free,2025
99462,CPT,"Subsequent hospital care, normal newborn",,E/M,free,2025
99463,CPT,"Initial hospital or birthing center care, normal newborn",,E/M,free,2025
99464,CPT,Attendance at delivery and initial stabilization of newborn,,E/M,free,2025
99465,CPT,"Delivery room or resuscitation, standby services",,E/M,free,2025
99468,CPT,"Initial inpatient neonatal critical care, neonate 28 days or younger",,E/M,free,2025
99469,CPT,"Subsequent inpatient neonatal critical care, neonate 28 days or younger",,E/M,free,2025
99471,CPT,"Initial inpatient pediatric critical care, infant 29 days through 24 months",,E/M,free,2025
99472,CPT,"Subsequent inpatient pediatric critical care, infant 29 days through 24 months",,E/M,free,2025
99475,CPT,"Initial inpatient pediatric critical care, child 2-5 years",,E/M,free,2025
99476,CPT,"Subsequent inpatient pediatric critical care, child 2-5 years",,E/M,free,2025
99490,CPT,"Chronic care management services, 20 minutes minimum",,E/M,free,2025
99491,CPT,"Chronic care management services, 30 minutes minimum",,E/M,free,2025
99495,CPT,"Transitional care management, moderate complexity",,E/M,free,2025
99496,CPT,"Transitional care management, high complexity",,E/M,free,2025
99497,CPT,"Advance care planning, first 30 minutes",,E/M,free,2025
99498,CPT,"Advance care planning, additional 30 minutes",,E/M,free,2025
99421,CPT,"Online digital evaluation and management service, 5 minutes",,E/M,free,2025
99441,CPT,"Telephone evaluation and management service, 5 minutes",,E/M,free,2025
99422,CPT,"Online digital evaluation and management service, 10 minutes",,E/M,free,2025
99442,CPT,"Telephone evaluation and management service, 10 minutes",,E/M,free,2025
99423,CPT,"Online digital evaluation and management service, 20 minutes",,E/M,free,2025
99443,CPT,"Telephone evaluation and management service, 20 minutes",,E/M,free,2025
99446,CPT,"Interprofessional telephone or internet assessment, 5 minutes",,E/M,free,2025
99447,CPT,"Interprofessional telephone or internet assessment, 10 minutes",,E/M,free,2025
99448,CPT,"Interprofessional telephone or internet assessment, 20 minutes",,E/M,free,2025
99449,CPT,"Interprofessional telephone or internet assessment, 30 minutes",,E/M,free,2025
99453,CPT,"Remote monitoring of physiologic parameters, initial setup",,E/M,free,2025
99454,CPT,"Remote monitoring device supply, each 30 days",,E/M,free,2025
99457,CPT,"Remote physiologic monitoring treatment, first 20 minutes",,E/M,free,2025
99458,CPT,"Remote physiologic monitoring treatment, additional 20 minutes",,E/M,free,2025
