code,code_system,paraphrased_desc,short_desc,category,license_status,version_year
A1,HCPCS,Dressing for one wound,Dressing for one wound,Supplies,free,2025
A2,HCPCS,Dressing for two wounds,Dressing for two wounds,Supplies,free,2025
A3,HCPCS,Dressing for three wounds,Dressing for three wounds,Supplies,free,2025
A4,HCPCS,Dressing for four wounds,Dressing for four wounds,Supplies,free,2025
A5,HCPCS,Dressing for five wounds,Dressing for five wounds,Supplies,free,2025
A6,HCPCS,Dressing for six wounds,Dressing for six wounds,Supplies,free,2025
A7,HCPCS,Dressing for seven wounds,Dressing for seven wounds,Supplies,free,2025
A8,HCPCS,Dressing for eight wounds,Dressing for eight wounds,Supplies,free,2025
A9,HCPCS,Dressing for nine or more wounds,Dressing for 9 or more wound,Supplies,free,2025
AA,HCPCS,Anesthesia services performed personally by anesthesiologist,Anesthesia perf by anesgst                             3350.5,Supplies,free,2025
AB,HCPCS,Audiology service furnished personally by an audiologist without a,Aud svs w/o order evry 12mo,Supplies,free,2025
AB,HCPCS,physician/npp order for non-acute hearing assessment unrelated to,,Supplies,free,2025
AB,HCPCS,"disequilibrium, or hearing aids, or examinations for the purpose of",,Supplies,free,2025
AB,HCPCS,"prescribing, fitting, or changing hearing aids; service may be performed once",,Supplies,free,2025
AB,HCPCS,"every 12 months, per beneficiary",,Supplies,free,2025
AD,HCPCS,Medical supervision by a physician: more than four concurrent anesthesia,"Md supervision, >4 anes proc                           3350.5",Supplies,free,2025
AD,HCPCS,procedures,,Supplies,free,2025
AE,HCPCS,Registered dietician,Registered dietician,Supplies,free,2025
AF,HCPCS,Specialty physician,Specialty physician,Supplies,free,2025
AG,HCPCS,Primary physician,Primary physician,Supplies,free,2025
AH,HCPCS,Clinical psychologist,Clinical psychologist                                  2150    5112,Supplies,free,2025
AI,HCPCS,Principal physician of record,Principal physician of rec,Supplies,free,2025
AJ,HCPCS,Clinical social worker,Clinical social worker                                 2152    5113,Supplies,free,2025
AK,HCPCS,Non participating physician,Non participating physician,Supplies,free,2025
AM,HCPCS,"Physician, team member service","Physician, team member svc                             4105.7",Supplies,free,2025
AO,HCPCS,Alternate payment method declined by provider of service,Prov declined alt pmt method,Supplies,free,2025
AP,HCPCS,Determination of refractive state was not performed in the course of diagnostic,No dtmn of refractive state,Supplies,free,2025
AP,HCPCS,ophthalmological examination,,Supplies,free,2025
AQ,HCPCS,Physician providing a service in an unlisted health professional shortage area,Physician service hpsa area,Supplies,free,2025
AQ,HCPCS,(hpsa),,Supplies,free,2025
AR,HCPCS,Physician provider services in a physician scarcity area,Physician scarcity area,Supplies,free,2025
AS,HCPCS,"Physician assistant, nurse practitioner, or clinical nurse specialist services",Assistant at surgery service,Supplies,free,2025
AS,HCPCS,for assistant at surgery,,Supplies,free,2025
AT,HCPCS,"Acute treatment (this modifier should be used when reporting service 98940,",Acute treatment,Supplies,free,2025
AT,HCPCS,"98941, 98942)",,Supplies,free,2025
AU,HCPCS,"Item furnished in conjunction with a urological, ostomy, or tracheostomy supply","Uro, ostomy or trach item",Supplies,free,2025
AV,HCPCS,"Item furnished in conjunction with a prosthetic device, prosthetic or orthotic",Item w prosthetic/orthotic,Supplies,free,2025
AW,HCPCS,Item furnished in conjunction with a surgical dressing,Item w a surgical dressing,Supplies,free,2025
AX,HCPCS,Item furnished in conjunction with dialysis services,Item w dialysis services,Supplies,free,2025
AY,HCPCS,Item or service furnished to an esrd patient that is not for the treatment of,Item/service not for esrd tx,Supplies,free,2025
AY,HCPCS,esrd,,Supplies,free,2025
AZ,HCPCS,Physician providing a service in a dental health professional shortage area for,Physician serv in dent hpsa,Supplies,free,2025
AZ,HCPCS,the purpose of an electronic health record incentive payment,,Supplies,free,2025
BA,HCPCS,Item furnished in conjunction with parenteral enteral nutrition (pen) services,Item w pen services,Enteral/Parenteral,free,2025
BL,HCPCS,Special acquisition of blood and blood products,Spec acquisition blood prods,Enteral/Parenteral,free,2025
BO,HCPCS,"Orally administered nutrition, not by feeding tube",Nutrition oral admin no tube,Enteral/Parenteral,free,2025
BP,HCPCS,The beneficiary has been informed of the purchase and rental options and has,Bene electd to purchase item,Enteral/Parenteral,free,2025
BP,HCPCS,elected to purchase the item,,Enteral/Parenteral,free,2025
BR,HCPCS,The beneficiary has been informed of the purchase and rental options and has,Bene elected to rent item,Enteral/Parenteral,free,2025
BR,HCPCS,elected to rent the item,,Enteral/Parenteral,free,2025
BU,HCPCS,The beneficiary has been informed of the purchase and rental options and after,Bene undecided on purch/rent,Enteral/Parenteral,free,2025
BU,HCPCS,30 days has not informed the supplier of his/her decision,,Enteral/Parenteral,free,2025
CA,HCPCS,Procedure payable only in the inpatient setting when performed emergently on an,Procedure payable inpatient,Outpatient PPS,free,2025
CA,HCPCS,outpatient who expires prior to admission,,Outpatient PPS,free,2025
CB,HCPCS,Service ordered by a renal dialysis facility (rdf) physician as part of the,Esrd bene part a snf-sep pay,Outpatient PPS,free,2025
CB,HCPCS,"esrd beneficiary's dialysis benefit, is not part of the composite rate, and is",,Outpatient PPS,free,2025
CB,HCPCS,separately reimbursable,,Outpatient PPS,free,2025
CC,HCPCS,Procedure code change (use 'cc' when the procedure code submitted was changed,Procedure code change,Outpatient PPS,free,2025
CC,HCPCS,either for administrative reasons or because an incorrect code was filed),,Outpatient PPS,free,2025
CD,HCPCS,Amcc test has been ordered by an esrd facility or mcp physician that is part of,Amcc test for esrd or mcp md                           4270.2,Outpatient PPS,free,2025
CD,HCPCS,the composite rate and is not separately billable,,Outpatient PPS,free,2025
CE,HCPCS,Amcc test has been ordered by an esrd facility or mcp physician that is a,Med neces amcc tst sep reimb                           4270.2,Outpatient PPS,free,2025
CE,HCPCS,composite rate test but is beyond the normal frequency covered under the rate,,Outpatient PPS,free,2025
CE,HCPCS,and is separately reimbursable based on medical necessity,,Outpatient PPS,free,2025
CF,HCPCS,Amcc test has been ordered by an esrd facility or mcp physician that is not,Amcc tst not composite rate                            4270.2,Outpatient PPS,free,2025
CF,HCPCS,part of the composite rate and is separately billable,,Outpatient PPS,free,2025
CG,HCPCS,Policy criteria applied,Policy criteria applied,Outpatient PPS,free,2025
CH,HCPCS,"0 percent impaired, limited or restricted","0 percent impaired, ltd, res",Outpatient PPS,free,2025
CI,HCPCS,"At least 1 percent but less than 20 percent impaired, limited or restricted",1 to <20 percent impaired,Outpatient PPS,free,2025
CJ,HCPCS,"At least 20 percent but less than 40 percent impaired, limited or restricted",20 to <40 percent impaired,Outpatient PPS,free,2025
CK,HCPCS,"At least 40 percent but less than 60 percent impaired, limited or restricted",40 to <60 percent impaired,Outpatient PPS,free,2025
CL,HCPCS,"At least 60 percent but less than 80 percent impaired, limited or restricted",60 to <80 percent impaired,Outpatient PPS,free,2025
CM,HCPCS,"At least 80 percent but less than 100 percent impaired, limited or restricted",80 to <100 percent impaired,Outpatient PPS,free,2025
CN,HCPCS,"100 percent impaired, limited or restricted","100 percent impaired, ltd",Outpatient PPS,free,2025
CO,HCPCS,Outpatient occupational therapy services furnished in whole or in part by an,Outpatient ot service by ota,Outpatient PPS,free,2025
CO,HCPCS,occupational therapy assistant,,Outpatient PPS,free,2025
CP,HCPCS,Adjunctive service related to a procedure assigned to a comprehensive,C-apc adjunctive service,Outpatient PPS,free,2025
CP,HCPCS,"ambulatory payment classification (c-apc) procedure, but reported on a",,Outpatient PPS,free,2025
CP,HCPCS,different claim,,Outpatient PPS,free,2025
CQ,HCPCS,Outpatient physical therapy services furnished in whole or in part by a,Outpatient pt service by pta,Outpatient PPS,free,2025
CQ,HCPCS,physical therapist assistant,,Outpatient PPS,free,2025
CR,HCPCS,Catastrophe/disaster related,Catastrophe/disaster related,Outpatient PPS,free,2025
CS,HCPCS,Cost-sharing waived for specified covid-19 testing-related services that result,Cost share waiver covid-19,Outpatient PPS,free,2025
CS,HCPCS,in and order for or administration of a covid-19 test and/or used for,,Outpatient PPS,free,2025
CS,HCPCS,cost-sharing waived preventive services furnished via telehealth in rural,,Outpatient PPS,free,2025
CS,HCPCS,health clinics and federally qualified health centers during the covid-19,,Outpatient PPS,free,2025
CS,HCPCS,public health emergency,,Outpatient PPS,free,2025
CT,HCPCS,Computed tomography services furnished using equipment that does not meet each,Ct does not meet nema standa,Outpatient PPS,free,2025
CT,HCPCS,of the attributes of the national electrical manufacturers association (nema),,Outpatient PPS,free,2025
CT,HCPCS,xr-29-2013 standard,,Outpatient PPS,free,2025
DA,HCPCS,Oral health assessment by a licensed health professional other than a dentist,"Oral health assess, not dent",Dental,free,2025
E1,HCPCS,"Upper left, eyelid",Upper left eyelid,Equipment,free,2025
